	Porterinema_fluviatile__Antarctobacter_heliothermus	Chordaria_linearis__Antarctobacter_heliothermus	Porterinema_fluviatile__Rhodopirellula_europaea_6C	Chordaria_linearis__Muricauda_eckloniae	Chordaria_linearis__Rhodopirellula_europaea_6C	Chordaria_linearis__Candidatus_Phaeomarinobacter_ectocarpi	Porterinema_fluviatile__Muricauda_eckloniae	Porterinema_fluviatile__Candidatus_Phaeomarinobacter_ectocarpi
CPD-622	1	1	1	1	1	1	1	1
CPD-12185	1	1	0	0	0	1	0	1
CPD-22018	2	2	2	2	2	2	2	2
N-ALPHA-ACETYLORNITHINE	2	2	2	2	2	2	2	2
CPD-12253	1	1	1	1	1	1	1	1
4Z-9Z-Octadec-4-9-dienoyl-acp	0	0	0	1	0	1	1	1
L-GAMMA-GLUTAMYLCYSTEINE	2	2	2	2	2	2	2	2
IMINOASPARTATE	2	2	2	2	2	2	2	2
PROTOHEME	2	2	2	2	2	2	2	2
CPD-367	2	2	2	2	2	2	2	2
2-AMINOMUCONATE_SEMIALDEHYDE	0	0	0	1	0	0	1	0
FAD	2	2	2	2	2	2	2	2
PROPIONYL-COA	1	1	1	1	1	1	1	1
DIHYDROXYNAPHTHOATE	0	0	0	1	0	0	1	0
D-ALTRONATE	0	0	1	0	1	0	0	0
CPD0-1456	0	1	0	0	1	0	0	0
AICAR	2	2	2	2	2	2	2	2
3-oxo-cis-vaccenoyl-ACPs	1	1	0	1	0	1	1	1
3-ENOLPYRUVYL-SHIKIMATE-5P	4	4	2	2	2	2	2	2
3-HYDROXY-L-KYNURENINE	1	1	0	1	0	0	1	0
CPD-20465	2	2	2	2	2	2	2	2
DELTA3-ISOPENTENYL-PP	2	2	2	2	2	2	2	2
RIBULOSE-5P	4	4	2	2	2	2	2	2
CPD-641	2	2	2	2	2	2	2	2
CPD-20647	0	0	1	1	1	1	1	1
R-2-HYDROXYGLUTARATE	2	2	2	2	2	2	2	2
HIS	1	1	0	1	0	1	1	1
D-Ribopyranose	4	4	2	2	2	2	2	2
NICOTINATE_NUCLEOTIDE	2	2	4	2	4	4	2	4
CAPSORUBIN	0	0	0	1	0	1	1	1
L-DEHYDRO-ASCORBATE	2	2	2	2	2	2	2	2
CPD-10723	1	1	1	1	1	0	1	0
CPD-22020	2	2	2	2	2	2	2	2
CPD-12116	0	0	0	1	0	0	1	0
GLYCERATE	1	1	1	1	1	0	1	0
CPD-381	2	2	2	2	2	2	2	2
Red-Thioredoxin	4	4	4	4	4	4	4	4
Reduced-flavodoxins	4	4	4	4	4	4	4	4
CPD-13611	2	2	2	2	2	2	2	2
PROTOPORPHYRINOGEN	2	2	2	2	2	2	2	2
DIMETHYL-D-RIBITYL-LUMAZINE	2	2	2	2	2	2	2	2
CPD-12587	2	2	2	2	2	2	2	2
CPD-17063	2	2	2	2	2	2	2	2
3S-CITRYL-COA	2	2	2	2	2	2	2	2
CPD-12932	2	2	2	2	2	2	2	2
3Z-dodec-3-enoyl-ACPs	1	1	0	0	0	1	0	1
L-ORNITHINE	2	2	2	2	2	2	2	2
Stearoyl-ACPs	2	2	2	2	2	2	2	2
MALONATE-S-ALD	2	2	2	2	2	2	2	2
GDP-L-GALACTOSE	2	2	2	2	2	2	2	2
L-DI-GMP	0	0	1	0	1	1	0	1
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	2	2	2	2	2	2	2	2
FRUCTURONATE	0	0	1	1	1	0	1	0
COPROPORPHYRINOGEN_III	2	2	2	2	2	2	2	2
CPD-341	2	2	2	2	2	2	2	2
CPD-255	3	3	0	0	0	0	0	0
FE+3	4	4	4	4	4	4	4	4
CPD-9924	2	2	2	2	2	2	2	2
PROTOPORPHYRIN_IX	2	2	2	2	2	2	2	2
SULFATE	4	4	4	4	4	4	4	4
OXYGEN-MOLECULE	4	4	4	4	4	4	4	4
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	1	1	0	0	0	1	0	1
CPD-316	2	2	2	2	2	2	2	2
CPD-1821	0	0	0	0	0	1	0	1
CPD-22012	2	2	2	2	2	2	2	2
CPD-15435	1	1	1	1	1	1	1	1
DEOXYGUANOSINE	2	2	2	2	2	2	2	2
Beta-hydroxydecanoyl-ACPs	2	2	2	2	2	2	2	2
GAP	4	4	2	2	2	2	2	2
Oxidized-ferredoxins	4	4	4	4	4	4	4	4
CPD-25381	4	4	2	2	2	2	2	2
D-SERINE	2	2	2	2	2	2	2	2
INDOLEYL-CPD	0	0	0	1	0	0	1	0
MAL	2	2	2	2	2	2	2	2
G3P	4	4	2	2	2	2	2	2
CU+2	4	4	4	4	4	4	4	4
DATP	4	4	4	4	4	2	4	2
LI+	4	4	4	4	4	4	4	4
RB+	4	4	4	4	4	4	4	4
7-CYANO-7-DEAZAGUANINE	0	0	1	0	1	1	0	1
CPD1F-114	0	0	1	1	1	1	1	1
CPD-13851	4	4	4	4	4	2	4	2
Acceptor	4	4	4	4	4	4	4	4
MALONYL-COA	2	2	2	2	2	2	2	2
CPD0-181	1	1	1	1	1	0	1	0
DCDP	2	2	2	2	2	2	2	2
CPD-22007	2	2	2	2	2	2	2	2
CPD-380	2	2	2	2	2	2	2	2
AMINO-OXOBUT	1	1	0	1	0	0	1	0
CPD-11495	2	2	2	2	2	2	2	2
L-ARABITOL	1	1	1	1	1	0	1	0
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	2	2	2	2	2	2	2	2
THF	2	2	2	2	2	2	2	2
DEHYDROQUINATE	4	4	2	2	2	2	2	2
CPD-15709	4	4	2	2	2	2	2	2
2-METHYLMALEATE	0	0	0	1	0	0	1	0
XANTHURENATE	1	1	0	1	0	0	1	0
CPD-1128	1	1	1	1	1	0	1	0
CGMP	2	2	2	2	2	2	2	2
CPD-535	2	2	2	2	2	2	2	2
Hex-2-enoyl-ACPs	2	2	2	2	2	2	2	2
CPD-4211	2	2	2	2	2	2	2	2
D-Glucopyranuronate	2	2	2	2	2	2	2	2
CPD-653	4	4	4	4	4	4	4	4
Octanoyl-ACPs	2	2	2	2	2	2	2	2
NMNH	4	4	2	2	2	4	2	4
OH	4	4	4	4	4	4	4	4
METHYL-MALONYL-COA	2	2	2	2	2	2	2	2
CPD-20263	0	2	0	2	2	2	0	0
CPD-16618	0	0	1	1	1	0	1	0
D-METHYL-MALONYL-COA	1	1	1	1	1	1	1	1
UDP-N-ACETYLMURAMATE	1	1	1	0	1	0	0	0
N-ACETYL-GLUTAMYL-P	2	2	2	2	2	2	2	2
CPD-7836	2	2	2	2	2	2	2	2
CPD-22405	1	1	1	0	1	0	0	0
2-ACETO-2-HYDROXY-BUTYRATE	1	1	1	1	1	1	1	1
CPD-1117	1	1	0	0	0	0	0	0
CPD-31	0	0	0	1	0	0	1	0
ECTOINE	1	1	0	0	0	0	0	0
FE+2	4	4	4	4	4	4	4	4
DEAMIDO-NAD	2	2	4	2	4	4	2	4
CPD-318	2	2	2	2	2	2	2	2
CPD-3	4	4	4	4	4	4	4	4
CYTIDINE	2	2	2	2	2	2	2	2
DIHYDROFOLATE-GLU-N	2	2	2	2	2	2	2	2
N-ACETYL-L-24-DIAMINOBUTANOATE	1	1	1	0	1	0	0	0
GLUCONATE	0	0	0	1	0	0	1	0
CPD-18508	0	0	0	0	0	1	0	1
CPD-13524	0	0	0	1	0	0	1	0
CPD-13910	2	2	2	2	2	2	2	2
P3I	2	2	2	2	2	2	2	2
CPD-69	2	2	4	2	4	2	2	2
FMNH2	0	0	0	0	0	1	0	1
CPD-12367	2	2	2	2	2	2	2	2
CPD-569	0	0	0	1	0	0	1	0
CPD-22008	2	2	2	2	2	2	2	2
STEAROYL-COA	2	2	2	2	2	2	2	2
3-oxo-cis-D9-hexadecenoyl-ACPs	1	1	0	0	0	1	0	1
CATECHOL	1	1	0	0	0	1	0	1
Palmitoleoyl-ACPs	1	1	0	1	0	1	1	1
CO+2	4	4	4	4	4	4	4	4
GLUTAMIDE	0	0	0	1	0	0	1	0
CPD-24843	4	4	2	2	2	2	2	2
CPD-597	2	2	2	2	2	2	2	2
NIACINAMIDE	1	1	1	1	1	1	1	1
RIBOSE-1P	4	4	2	2	2	2	2	2
AMP	4	4	4	4	4	4	4	4
S-LACTOYL-GLUTATHIONE	3	3	0	1	0	0	1	0
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	2	2	2	2	2	2	2	2
CPD-12150	0	0	0	1	0	0	1	0
CPD-309	2	2	2	2	2	2	2	2
Light	4	4	4	4	4	4	4	4
CARBAMOYL-P	2	2	4	2	4	2	2	2
CPD-14646	0	0	1	1	1	1	1	1
2-METHYL-ACETO-ACETYL-COA	1	1	1	1	1	1	1	1
CPD-14281	2	2	2	2	2	2	2	2
ADENOSYL-P4	2	2	4	2	4	2	2	2
CPD1F-98	0	0	1	1	1	1	1	1
3-oxo-petroselinoyl-ACPs	0	0	0	0	0	1	0	1
LEU	2	2	2	2	2	2	2	2
CPD-13043	0	0	1	1	1	1	1	1
ALPHA-GLC-6-P	4	4	2	2	2	2	2	2
URACIL	2	2	2	2	2	2	2	2
ACET	2	2	2	2	2	2	2	2
Trans-D2-cis-D7-tetradecenoyl-ACPs	1	1	0	0	0	1	0	1
CPD-649	2	2	2	2	2	2	2	2
CPD-470	1	1	1	0	1	0	0	0
CPD-12365	2	2	2	2	2	2	2	2
BISOHMYR-GLC	1	1	1	0	1	0	0	0
DUTP	2	2	2	2	2	2	2	2
CPD-317	2	2	2	2	2	2	2	2
CAMP	2	2	4	4	4	4	4	4
CPD-22006	2	2	2	2	2	2	2	2
L-Galactopyranose	2	2	2	2	2	2	2	2
3-Oxo-octanoyl-ACPs	2	2	2	2	2	2	2	2
Cytochromes-C-Oxidized	4	4	4	4	4	4	4	4
CPD-18118	0	0	1	1	1	0	1	0
NADPH	4	4	4	4	4	4	4	4
3-HYDROXY-ANTHRANILATE	1	1	0	1	0	0	1	0
Cis-delta-3-decenoyl-ACPs	1	1	0	0	0	1	0	1
CPD-7643	0	0	1	0	1	0	0	0
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	4	4	2	2	2	2	2	2
CPD-1070	1	1	0	0	0	0	0	0
XANTHOSINE	4	4	2	2	2	2	2	2
GUANOSINE-5DP-3DP	2	2	2	2	2	2	2	2
CPD-14736	1	1	0	1	0	0	1	0
UDP-N-ACETYL-D-GLUCOSAMINE	1	1	1	0	1	0	0	0
CPD-15127	1	1	0	0	0	0	0	0
7-AMINOMETHYL-7-DEAZAGUANINE	0	0	1	0	1	1	0	1
4-AMINO-BUTYRATE	1	1	1	0	1	1	0	1
CPD-1136	0	0	0	0	0	1	0	1
CPD-22005	2	2	2	2	2	2	2	2
CPD-602	2	2	2	2	2	2	2	2
L-LACTATE	3	3	1	0	1	0	0	0
AMMONIA	4	4	4	4	4	4	4	4
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	2	2	2	2	2	2	2	2
CPD0-2461	3	3	1	0	1	0	0	0
5-AMINO-LEVULINATE	2	2	2	2	2	2	2	2
CPD-330	0	0	1	0	1	0	0	0
CPD-10280	2	2	2	2	2	2	2	2
D-SEDOHEPTULOSE-1-7-P2	4	4	2	2	2	2	2	2
CPD-12118	0	0	0	1	0	0	1	0
RETINAL	0	0	0	1	0	0	1	0
DI-H-URACIL	2	2	2	2	2	2	2	2
N2-SUCCINYLGLUTAMATE	0	0	0	1	0	0	1	0
D-GLUCOSAMINE-6-P	2	2	2	2	2	2	2	2
R-3-Hydroxypalmitoyl-ACPs	2	2	2	2	2	2	2	2
CPD1G-332	2	2	2	2	2	2	2	2
Hexanoyl-ACPs	2	2	2	2	2	2	2	2
CPD-804	1	1	0	0	0	0	0	0
NOREPINEPHRINE	0	2	0	2	2	2	0	0
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	1	1	0	0	0	1	0	1
BETA-D-FRUCTOSE	3	3	0	1	0	1	1	1
CPD-7078	2	2	2	2	2	2	2	2
MYO-INOSITOL	2	2	2	2	2	2	2	2
TDP	2	2	2	2	2	2	2	2
CPD-21340	2	2	2	2	2	2	2	2
CPD-465	0	0	0	0	0	1	0	1
AMMONIUM	4	4	4	4	4	4	4	4
CPD-208	1	1	0	0	0	1	0	1
SUPER-OXIDE	4	4	4	4	4	4	4	4
2-METHYL-3-HYDROXY-BUTYRYL-COA	1	1	1	1	1	1	1	1
D-GALACTONATE	3	3	0	0	0	0	0	0
CPD-14808	2	2	2	2	2	2	2	2
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	0	0	1	0	1	0	0	0
XANTHINE	4	4	2	2	2	2	2	2
UROCANATE	0	0	0	1	0	0	1	0
5Z-tetradec-5-enoyl-ACPs	1	1	0	0	0	1	0	1
CPD-20260	0	2	0	2	2	2	0	0
OCTAPRENYL-DIPHOSPHATE	1	1	1	1	1	1	1	1
GDP-MANNOSE	2	2	2	2	2	2	2	2
DIHYDROFOLATE	2	2	2	2	2	2	2	2
CPD-22023	2	2	2	2	2	2	2	2
CPD-8652	0	2	0	2	2	2	0	0
GLYCEROL-3P	2	2	2	2	2	2	2	2
GLUTAMATE-1-SEMIALDEHYDE	2	2	2	2	2	2	2	2
CPD-302	0	0	0	1	0	0	1	0
CPD-618	2	2	2	2	2	2	2	2
Pi	4	4	4	4	4	4	4	4
CPD-10818	2	2	2	2	2	2	2	2
CPD-22003	2	2	2	2	2	2	2	2
2-HYDROXYGLUTARYL-COA	1	1	0	0	0	0	0	0
3R-7Z-3-hydroxy-hexadec-7-enoyl-ACPs	1	1	0	0	0	1	0	1
CPD-22402	0	0	1	0	1	0	0	0
GLYOX	2	2	2	2	2	2	2	2
DOPAMINE	0	2	0	2	2	2	0	0
CPD-1086	2	2	2	2	2	2	2	2
INDOLE_ACETATE_AUXIN	2	2	2	2	2	2	2	2
PHOSPHO-ENOL-PYRUVATE	4	4	2	2	2	2	2	2
CDP-ETHANOLAMINE	2	2	2	2	2	2	2	2
CPD-2961	0	0	1	1	1	0	1	0
4-P-PANTOTHENATE	2	2	2	2	2	2	2	2
PSEUDOURIDINE-5-P	2	2	2	2	2	2	2	2
NAD	4	4	4	4	4	4	4	4
CPD-15555	0	0	0	0	0	1	0	1
PHE	2	2	2	2	2	2	2	2
3-Hydroxy-octanoyl-ACPs	2	2	2	2	2	2	2	2
CPD-10525	0	0	0	0	0	1	0	1
PHENYLETHYLAMINE	2	2	2	2	2	2	2	2
CPD-1772	1	1	0	0	0	0	0	0
XYLULOSE-5-PHOSPHATE	4	4	2	2	2	2	2	2
Trans-D2-decenoyl-ACPs	2	2	2	2	2	2	2	2
D-XYLONATE	0	0	1	0	1	0	0	0
DEOXYINOSINE	1	1	0	0	0	0	0	0
UREA	4	4	2	2	2	2	2	2
FORMATE	4	4	2	2	2	4	2	4
ASCORBATE	2	2	2	2	2	2	2	2
CPD-19757	1	1	0	0	0	0	0	0
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	1	1	0	1	0	1	1	1
ISOGLUTAMINE	0	0	0	1	0	0	1	0
CPD-15818	4	4	2	2	2	2	2	2
Tetradec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
HYDROXYMUCONATE-SALD	1	1	0	0	0	1	0	1
DIHYDRONEOPTERIN-P	2	2	2	2	2	2	2	2
CPD-8886	4	4	4	4	4	4	4	4
ADENINE	3	3	1	0	1	0	0	0
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	2	2	2	2	2	2	2	2
2-DEHYDRO-3-DEOXY-D-GALACTONATE	3	3	0	0	0	0	0	0
L-GULONO-1-4-LACTONE	2	2	2	2	2	2	2	2
Beta-3-hydroxybutyryl-ACPs	2	2	2	2	2	2	2	2
N-ACETYL-D-GLUCOSAMINE-6-P	1	1	1	0	1	0	0	0
BA+2	4	4	4	4	4	4	4	4
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2	2	2	2	2	2	2	2
CPD-13469	0	0	1	1	1	0	1	0
CPD-22272	2	2	2	2	2	2	2	2
SO3	4	4	4	4	4	2	4	2
DCMP	2	2	2	2	2	2	2	2
CPD-18063	0	0	0	1	0	0	1	0
KDO-8P	0	0	1	1	1	0	1	0
NEUROSPORENE	0	0	1	1	1	1	1	1
CYS	2	2	2	2	2	2	2	2
HISTIDINOL	1	1	0	1	0	1	1	1
THREO-DS-ISO-CITRATE	2	2	2	2	2	2	2	2
3-oxo-stearoyl-ACPs	2	2	2	2	2	2	2	2
11Z-3-oxo-icos-11-enoyl-ACPs	1	1	0	1	0	1	1	1
CPD0-2472	4	4	4	4	4	4	4	4
CPD-7247	0	0	0	1	0	0	1	0
CTP	2	2	2	2	2	2	2	2
CPD1F-118	0	0	1	1	1	1	1	1
CPD-7246	0	0	1	0	1	0	0	0
CPD-497	2	2	2	2	2	2	2	2
P-AMINO-BENZOATE	2	2	2	2	2	2	2	2
SULFOACETALDEHYDE	1	1	0	0	0	0	0	0
D-TAGATURONATE	0	0	1	0	1	0	0	0
OROTIDINE-5-PHOSPHATE	2	2	2	2	2	2	2	2
CHLOROACETIC-ACID	1	1	0	0	0	0	0	0
PROPANE-1-2-DIOL	1	1	0	1	0	0	1	0
1-L-MYO-INOSITOL-1-P	2	2	2	2	2	2	2	2
ETOH	1	1	1	1	1	1	1	1
GLUTATHIONE	4	4	4	4	4	4	4	4
UROPORPHYRINOGEN-III	2	2	2	2	2	2	2	2
3-oxo-myristoyl-ACPs	2	2	2	2	2	2	2	2
SUCC-S-ALD	1	1	1	0	1	1	0	1
GLT	2	2	2	2	2	2	2	2
AGMATHINE	2	2	2	2	2	2	2	2
DIHYDROXY-BUTANONE-P	4	4	2	2	2	2	2	2
CPD-15154	0	2	0	2	2	2	0	0
CPD-10353	3	3	0	0	0	1	0	1
GLT-tRNAs	4	4	4	4	4	4	4	4
CPD-17461	1	1	0	0	0	0	0	0
RIBOFLAVIN	2	2	2	2	2	2	2	2
4Z-9Z-Hexadec-4-9-dienoyl-acp	0	0	0	1	0	1	1	1
ASN	2	2	2	2	2	2	2	2
CPD-14271	2	2	2	2	2	2	2	2
CPD-14277	2	2	2	2	2	2	2	2
CPD-277	1	1	0	0	0	0	0	0
CPD-22015	2	2	2	2	2	2	2	2
b-Hydroxy-cis-D5-dodecenoyl-ACPs	1	1	0	0	0	1	0	1
CPD-14278	2	2	2	2	2	2	2	2
CPD-12658	2	2	2	2	2	2	2	2
L-HISTIDINOL-P	2	2	2	2	2	2	2	2
GDP	2	2	2	2	2	2	2	2
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	2	2	2	2	2	2	2	2
CPD-448	0	0	0	1	0	0	1	0
ENOL-PHENYLPYRUVATE	2	2	2	2	2	2	2	2
Palmitoyl-ACPs	2	2	2	2	2	2	2	2
CPD0-1643	1	1	0	0	0	0	0	0
CPD-19584	4	4	4	4	4	4	4	4
PHYTYL-PYROPHOSPHATE	2	2	2	2	2	2	2	2
CPD-654	1	1	1	1	1	0	1	0
DIACETYL	4	4	2	2	2	2	2	2
CPD-10279	2	2	2	2	2	2	2	2
5-HYDROXY-CTP	2	2	2	2	2	2	2	2
CPD-471	0	0	1	0	1	0	0	0
Octadec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
3-P-SERINE	2	2	2	2	2	2	2	2
CPD-334	2	2	2	2	2	2	2	2
Cis-Delta5-dodecenoyl-ACPs	1	1	0	0	0	1	0	1
CPD-12321	2	2	2	2	2	2	2	2
CPD-15979	4	4	2	2	2	2	2	2
PHENYL-PYRUVATE	2	2	2	2	2	2	2	2
CPD-846	4	4	4	4	4	2	4	2
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	2	2	2	2	2	2	2	2
CPD-499	2	2	2	2	2	2	2	2
CPD-12849	3	3	0	0	0	0	0	0
3-oxo-decanoyl-ACPs	2	2	2	2	2	2	2	2
PANTETHEINE-P	2	2	2	2	2	2	2	2
3-UREIDO-ISOBUTYRATE	0	0	1	0	1	0	0	0
NADP	4	4	4	4	4	4	4	4
CU+	4	4	4	4	4	4	4	4
UNDECAPRENYL-DIPHOSPHATE	2	2	2	2	2	2	2	2
MANNITOL-1P	2	2	2	2	2	2	2	2
CPD-13852	2	2	2	2	2	2	2	2
CPD-15586	0	0	1	0	1	0	0	0
CPD-12179	0	0	0	0	0	1	0	1
APS	4	4	4	4	4	2	4	2
FORMAMIDE	0	0	0	1	0	0	1	0
Crotonyl-ACPs	2	2	2	2	2	2	2	2
CPD-254	0	0	1	0	1	0	0	0
CPD-16500	0	0	0	3	0	0	3	0
Ox-Thioredoxin	4	4	4	4	4	4	4	4
CPD-11855	4	4	2	2	2	2	2	2
3-hydroxy-cis-D7-tetraecenoyl-ACPs	1	1	0	0	0	1	0	1
4-FUMARYL-ACETOACETATE	1	1	0	0	0	0	0	0
MALONYL-ACP	2	2	2	2	2	2	2	2
CPD-14795	1	1	1	0	1	0	0	0
CPD-825	1	1	0	0	0	0	0	0
XYLITOL	1	1	1	1	1	0	1	0
CPD-196	1	1	0	0	0	0	0	0
DEOXYCYTIDINE	1	1	1	1	1	0	1	0
CPD-22021	2	2	2	2	2	2	2	2
7Z-hexadec-7-enoyl-ACPs	1	1	0	0	0	1	0	1
5Z-3-oxo-tetradec-5-enoyl-ACPs	1	1	0	0	0	1	0	1
CPD-389	1	1	1	0	1	0	0	0
CPD0-881	0	0	1	0	1	0	0	0
BR-	4	4	4	4	4	4	4	4
2-ACETO-LACTATE	4	4	2	2	2	2	2	2
CPD0-1699	0	0	1	1	1	1	1	1
TAURINE	1	1	0	0	0	0	0	0
DGTP	2	2	2	2	2	2	2	2
S-2-INDOL-3-YLACETYL-COA	1	1	0	0	0	0	0	0
Delta6-hexadecenoyl-ACPs	0	0	0	1	0	1	1	1
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	0	0	0	0	0	1	0	1
INDOXYL	0	0	0	0	0	1	0	1
4-OH-4-ACETYL-2-OXOGLUTARATE	4	4	2	2	2	2	2	2
HYDROXY-METHYL-BUTENYL-DIP	2	2	2	2	2	2	2	2
GUANOSINE	2	2	2	2	2	2	2	2
CPD-824	1	1	0	0	0	0	0	0
DAMP	4	4	2	2	2	2	2	2
DIHYDROXYINDOLE	0	2	0	2	2	2	0	0
CPD-22011	2	2	2	2	2	2	2	2
CPD-12249	0	0	0	1	0	1	0	0
CPD-7414	0	0	1	1	1	1	1	1
NICOTINAMIDE_NUCLEOTIDE	3	3	3	1	3	3	1	3
Dodecanoyl-ACPs	2	2	2	2	2	2	2	2
ACETALD	1	1	1	1	1	1	1	1
DIHYDROPTERIN-CH2OH-PP	2	2	2	2	2	2	2	2
D-BETA-D-HEPTOSE-1-P	0	0	0	0	0	1	0	1
QUINOLINATE	2	2	2	2	2	2	2	2
HS	4	4	4	4	4	2	4	2
CPD-15633	0	0	1	0	1	0	0	0
CPD-10260	2	2	2	2	2	2	2	2
CPD-1134	1	1	0	0	0	0	0	0
UDP-MANNAC	1	1	1	0	1	0	0	0
ADENOSYLCOBALAMIN	4	4	4	4	4	4	4	4
ISOCHORISMATE	2	2	2	2	2	2	2	2
CPD-16459	4	4	4	4	4	4	4	4
L-XYLULOSE	1	1	1	1	1	0	1	0
CPD-24844	4	4	2	2	2	2	2	2
SUC	2	2	2	2	2	2	2	2
CPD8J2-27	2	2	2	2	2	2	2	2
ALLANTOATE	0	0	1	0	1	0	0	0
2E-5Z-tetradeca-2-5-dienoyl-ACPs	1	1	0	0	0	1	0	1
SER	2	2	2	2	2	2	2	2
D-ALANINE	0	0	0	1	0	1	1	1
PALMITALDEHYDE	2	2	2	2	2	2	2	2
DIHYDRONEOPTERIN-P3	2	2	2	2	2	2	2	2
CPD-14275	2	2	2	2	2	2	2	2
SHIKIMATE	4	4	2	2	2	2	2	2
CPD-11444	2	2	2	2	2	2	2	2
NICOTINAMIDE_RIBOSE	1	1	3	1	3	3	1	3
PHOSPHORIBOSYL-AMP	2	2	2	2	2	2	2	2
CPD-14274	2	2	2	2	2	2	2	2
CPD-13357	4	4	2	2	2	2	2	2
