	PFluv_CLine_REuro	CLine_CLine_REuro	PFluv_CLine_MEckl	CLine_PFluv_CPhae	PFluv_PFluv_CPhae	CLine_CLine_MEckl	PFluv_PFluv_AHeli	CLine_PFluv_AHeli
CYS	2	2	2	2	2	2	2	2
CPD-660	2	2	2	2	2	2	2	2
CPD-110	0	0	0	1	1	0	1	1
CPD-12932	2	2	2	2	2	2	2	2
GLC	2	2	2	2	2	2	2	2
CPD-497	2	2	2	2	2	2	2	2
CPD-14275	2	2	2	2	2	2	2	2
D-GALACTONATE	0	0	0	0	0	0	3	3
CIT	2	2	2	2	2	2	2	2
CPD1F-114	1	1	1	1	1	1	0	0
4Z-9Z-Octadec-4-9-dienoyl-acp	0	0	1	1	1	1	0	0
DCTP	2	2	2	2	2	2	2	2
CPD-15979	2	2	2	2	2	2	4	4
Myristoyl-ACPs	2	2	2	2	2	2	2	2
8-Oxo-dGTP	2	2	2	2	2	2	2	2
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	2	2	2	2	2	2	2	2
CPD-1117	0	0	0	0	0	0	1	1
PHENYLETHYLAMINE	2	2	2	2	2	2	2	2
OH-PYR	1	1	1	0	0	1	1	1
7-AMINOMETHYL-7-DEAZAGUANINE	1	1	0	1	1	0	0	0
CPD-12249	0	0	0	1	0	1	0	0
CPD-11712	2	2	2	2	2	2	2	2
L-BETA-ASPARTYL-P	2	2	2	2	2	2	2	2
CPD-12118	0	0	1	0	0	1	0	0
GUANIDOACETIC_ACID	2	2	2	2	2	2	2	2
LAUROYLCOA-CPD	2	2	2	2	2	2	2	2
CPD-13243	2	2	2	2	2	2	2	2
5-HYDROXY-CTP	2	2	2	2	2	2	2	2
METHYL-GLYOXAL	0	0	1	0	0	1	3	3
3-P-HYDROXYPYRUVATE	2	2	2	2	2	2	4	4
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	2	2	2	2	2	2	2	2
OH-MYRISTOYL	1	1	0	0	0	0	1	1
CPD-641	2	2	2	2	2	2	2	2
SUCC-S-ALD	1	1	0	1	1	0	1	1
CPD-804	0	0	0	0	0	0	1	1
1516-DIHYDROBILIVERDIN	2	2	2	2	2	2	2	2
CPD-10809	2	2	2	2	2	2	2	2
IMIDAZOLE-ACETOL-P	2	2	2	2	2	2	2	2
CPD-22009	2	2	2	2	2	2	2	2
4-OH-4-ACETYL-2-OXOGLUTARATE	2	2	2	2	2	2	4	4
DIHYDRONEOPTERIN-P	2	2	2	2	2	2	2	2
CPD-380	2	2	2	2	2	2	2	2
CPD-335	0	0	0	0	0	0	1	1
METHYLENE-THF-GLU-N	2	2	2	2	2	2	4	4
R-3-hydroxydodecanoyl-ACPs	2	2	2	2	2	2	2	2
DAMP	2	2	2	2	2	2	4	4
TRYPTAMINE	2	2	2	2	2	2	2	2
CPDQT-4	2	2	2	2	2	2	2	2
INDOLEYL-CPD	0	0	1	0	0	1	0	0
P3I	2	2	2	2	2	2	2	2
HYDROXYMUCONATE-SALD	0	0	0	1	1	0	1	1
CPD-9016	0	0	0	0	0	0	3	3
PALMITALDEHYDE	2	2	2	2	2	2	2	2
GLT	2	2	2	2	2	2	2	2
CPD-14736	0	0	1	0	0	1	1	1
RIBOFLAVIN	2	2	2	2	2	2	2	2
R-3-hydroxystearoyl-ACPs	2	2	2	2	2	2	2	2
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	2	2	2	2	2	2	2	2
CGMP	2	2	2	2	2	2	2	2
CPD-8052	1	1	0	0	0	0	1	1
D-SEDOHEPTULOSE-1-7-P2	2	2	2	2	2	2	4	4
DCMP	2	2	2	2	2	2	2	2
BISOHMYR-GLC	1	1	0	0	0	0	1	1
ACET	2	2	2	2	2	2	2	2
CPD-365	1	1	0	0	0	0	1	1
CPD-471	1	1	0	0	0	0	0	0
D-ALA-D-ALA	0	0	1	1	1	1	0	0
NITRATE	4	4	4	4	4	4	4	4
PSEUDOURIDINE-5-P	2	2	2	2	2	2	2	2
CPD-653	4	4	4	4	4	4	4	4
CPD-22013	2	2	2	2	2	2	2	2
11Z-icos-11-enoyl-ACPs	0	0	1	1	1	1	1	1
ACETOL	0	0	1	0	0	1	1	1
D-XYLONATE	1	1	0	0	0	0	0	0
L-ASPARTATE-SEMIALDEHYDE	2	2	2	2	2	2	2	2
TRANS-3-METHYL-GLUTACONYL-COA	2	2	2	2	2	2	2	2
CPD-9409	0	0	0	1	1	0	1	1
CPD0-2472	4	4	4	4	4	4	4	4
SUC	2	2	2	2	2	2	2	2
CPD-1086	2	2	2	2	2	2	2	2
Octanoyl-ACPs	2	2	2	2	2	2	2	2
1-PALMITOYLGLYCEROL-3-PHOSPHATE	2	2	2	2	2	2	2	2
CPD-448	0	0	1	0	0	1	0	0
INDOLE_PYRUVATE	2	2	2	2	2	2	2	2
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
ACETOACETYL-COA	2	2	2	2	2	2	2	2
CPD-499	2	2	2	2	2	2	2	2
Beta-hydroxydecanoyl-ACPs	2	2	2	2	2	2	2	2
N-ACETYL-D-GLUCOSAMINE-1-P	1	1	0	0	0	0	1	1
HIS	0	0	1	1	1	1	1	1
ZN+2	4	4	4	4	4	4	4	4
CPD-334	2	2	2	2	2	2	2	2
CPD0-881	1	1	0	0	0	0	0	0
CPD-12610	2	0	2	0	2	0	4	3
UDP-MANNAC	1	1	0	0	0	0	1	1
CPD-1821	0	0	0	1	1	0	0	0
CPD-20263	0	2	0	2	0	2	0	2
PANTETHEINE-P	2	2	2	2	2	2	2	2
TYR	2	2	2	2	2	2	2	2
2-KETO-ISOVALERATE	2	2	2	2	2	2	4	4
5Z-tetradec-5-enoyl-ACPs	0	0	0	1	1	0	1	1
COPROPORPHYRIN_III	2	2	2	2	2	2	2	2
Ubiquinols	4	4	4	4	4	4	4	4
UDP-N-ACETYL-D-GLUCOSAMINE	1	1	0	0	0	0	1	1
V+5	4	4	4	4	4	4	4	4
CPD-22010	2	2	2	2	2	2	2	2
CPD-12739	0	0	0	0	0	0	1	1
3-hydroxy-cis-D9-hexaecenoyl-ACPs	0	0	0	1	1	0	1	1
RIBULOSE-5P	2	2	2	2	2	2	4	4
IDP	2	2	2	2	2	2	2	2
CPD-12587	2	2	2	2	2	2	2	2
CPD-20261	0	2	0	2	0	2	0	2
DIHYDRO-THYMINE	1	1	0	0	0	0	0	0
CPD-19715	0	0	1	0	0	1	0	0
CPD-277	0	0	0	0	0	0	1	1
MAL	2	2	2	2	2	2	2	2
GLYCEROL	2	2	2	2	2	2	2	2
CPD-20260	0	2	0	2	0	2	0	2
NADPH	4	4	4	4	4	4	4	4
L-DIHYDROXY-PHENYLALANINE	0	2	0	2	0	2	0	2
DEAMIDO-NAD	4	4	2	4	4	2	2	2
XANTHURENATE	0	0	1	0	0	1	1	1
CPD-10283	2	2	2	2	2	2	2	2
CMP	2	2	2	2	2	2	2	2
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	0	0	0	1	1	0	0	0
CPD-1484	4	4	4	4	4	4	4	4
ALLANTOATE	1	1	0	0	0	0	0	0
FRUCTOSE-6P	2	2	2	2	2	2	4	4
CPD-316	2	2	2	2	2	2	2	2
L-DELTA1-PYRROLINE_5-CARBOXYLATE	2	2	2	2	2	2	2	2
DOPAQUINONE	0	2	0	2	0	2	0	2
HCO3	4	4	4	4	4	4	4	4
PHOSPHORIBOSYL-AMP	2	2	2	2	2	2	2	2
CPD-18118	1	1	1	0	0	1	0	0
CPD-330	1	1	0	0	0	0	0	0
9Z-3-oxo-octadec-9-enoyl-ACPs	0	0	0	1	1	0	1	1
CPD-69	4	4	2	2	2	2	2	2
PRPP	2	2	2	2	2	2	2	2
S2O3	4	4	2	2	2	2	4	4
CPD-302	0	0	1	0	0	1	0	0
CPD-20262	0	2	0	2	0	2	0	2
DADP	4	4	4	4	4	4	4	4
VAL	2	2	2	2	2	2	2	2
Butanoyl-ACPs	2	2	2	2	2	2	2	2
CPD-19716	0	0	1	0	0	1	0	0
TAURINE	0	0	0	0	0	0	1	1
DUTP	2	2	2	2	2	2	2	2
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	2	2	2	2	2	2	2	2
CPD-9245	0	0	1	1	1	1	1	1
CPD-9408	0	0	0	1	1	0	1	1
DEHYDROQUINATE	2	2	2	2	2	2	4	4
D-BETA-D-HEPTOSE-1-P	0	0	0	1	1	0	0	0
THR	1	1	1	1	1	1	1	1
PHE	2	2	2	2	2	2	2	2
CPD-17461	0	0	0	0	0	0	1	1
ATP	4	4	4	4	4	4	4	4
DEHYDROSPHINGANINE	2	2	2	2	2	2	2	2
CPD-318	2	2	2	2	2	2	2	2
CPD-407	2	2	2	2	2	2	2	2
2-DEHYDRO-3-DEOXY-D-GLUCONATE	1	1	0	0	0	0	0	0
ALPHA-GLC-6-P	2	2	2	2	2	2	4	4
3-oxo-cis-D7-tetradecenoyl-ACPs	0	0	0	1	1	0	1	1
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	2	2	2	2	2	2	2	2
GLUTAMIDE	0	0	1	0	0	1	0	0
CPD-19754	1	1	0	0	0	0	0	0
STEARIC_ACID	2	2	2	2	2	2	2	2
L-DI-GMP	1	1	0	1	1	0	0	0
MG+2	4	4	4	4	4	4	4	4
LIPID-IV-A	1	1	0	0	0	0	1	1
SER	2	2	2	2	2	2	2	2
CPD1F-115	1	1	1	1	1	1	0	0
BORATE	4	4	4	4	4	4	4	4
TTP	2	2	2	2	2	2	2	2
3Z-PHYCOERYTHROBILIN	2	2	2	2	2	2	2	2
STEAROYL-COA	2	2	2	2	2	2	2	2
K+	4	4	4	4	4	4	4	4
PROTOPORPHYRINOGEN	2	2	2	2	2	2	2	2
CPD-14277	2	2	2	2	2	2	2	2
Cis-delta-3-decenoyl-ACPs	0	0	0	1	1	0	1	1
DPG	2	2	2	2	2	2	4	4
4-AMINO-BUTYRATE	1	1	0	1	1	0	1	1
D-SERINE	2	2	2	2	2	2	2	2
RB+	4	4	4	4	4	4	4	4
CPD-824	0	0	0	0	0	0	1	1
CPD-12247	0	0	0	1	0	1	0	0
N-ACETYL-D-GLUCOSAMINE-6-P	1	1	0	0	0	0	1	1
TMP	2	2	2	2	2	2	2	2
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	2	2	2	2	2	2	2	2
CPD-10330	2	2	2	2	2	2	4	4
D-GLT	0	0	1	1	1	1	0	0
5-HYDROXYISOURATE	2	2	2	2	2	2	2	2
N-5-PHOSPHORIBOSYL-ANTHRANILATE	2	2	2	2	2	2	2	2
CPD-4211	2	2	2	2	2	2	2	2
DIHYDROXYINDOLE	0	2	0	2	0	2	0	2
CPD-825	0	0	0	0	0	0	1	1
HSO3	4	4	4	2	2	4	4	4
G3P	2	2	2	2	2	2	4	4
CPD-22404	1	1	0	0	0	0	0	0
UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE	1	1	0	0	0	0	1	1
N-ACETYL-L-24-DIAMINOBUTANOATE	1	1	0	0	0	0	1	1
GLUTATHIONE	4	4	4	4	4	4	4	4
CPD-15127	0	0	0	0	0	0	1	1
Decanoyl-ACPs	2	2	2	2	2	2	2	2
THF	2	2	2	2	2	2	2	2
THYMIDINE	1	1	1	0	0	1	0	0
GERANYLGERANYL-PP	2	2	2	2	2	2	2	2
CPD-618	2	2	2	2	2	2	2	2
D-ALANINE	0	0	1	1	1	1	0	0
XYLITOL	1	1	1	0	0	1	1	1
UDP-N-ACETYLMURAMATE	1	1	0	0	0	0	1	1
2E-5Z-tetradeca-2-5-dienoyl-ACPs	0	0	0	1	1	0	1	1
CPD-15709	2	2	2	2	2	2	4	4
GUANINE	2	2	2	2	2	2	2	2
Acetoacetyl-ACPs	2	2	2	2	2	2	2	2
3Z-PHYTOCHROMOBILIN	2	2	2	2	2	2	2	2
CL-	4	4	4	4	4	4	4	4
DEOXY-RIBOSE-5P	1	1	1	0	0	1	1	1
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	2	2	2	2	2	2	4	4
ARABINOSE-5P	1	1	1	1	1	1	3	3
CPD-22403	1	1	0	0	0	0	0	0
CPD-20647	1	1	1	1	1	1	0	0
CPD-13043	1	1	1	1	1	1	0	0
NICOTINATE_NUCLEOTIDE	4	4	2	4	4	2	2	2
N-FORMIMINO-L-GLUTAMATE	0	0	1	0	0	1	0	0
GDP	2	2	2	2	2	2	2	2
CPD-2961	1	1	1	0	0	1	0	0
2-HYDROXYGLUTARYL-COA	0	0	0	0	0	0	1	1
CPD-187	2	2	2	2	2	2	4	4
DI-H-URACIL	2	2	2	2	2	2	2	2
CPD-22005	2	2	2	2	2	2	2	2
FRUCTOSE-16-DIPHOSPHATE	2	2	2	2	2	2	4	4
2-Hexadecenoyl-ACPs	2	2	2	2	2	2	2	2
UTP	2	2	2	2	2	2	2	2
ACETYL-P	2	2	2	2	2	2	2	2
INDOXYL	0	0	0	1	1	0	0	0
4-CYTIDINE-5-DIPHOSPHO-2-C	2	2	2	2	2	2	2	2
DODECANOATE	2	2	2	2	2	2	2	2
CPD-22022	2	2	2	2	2	2	2	2
DOPAMINE	0	2	0	2	0	2	0	2
D-RIBULOSE-15-P2	4	4	4	4	4	4	4	4
CPD-289	0	0	0	1	1	0	1	1
CPD-14273	2	2	2	2	2	2	2	2
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	0	0	0	1	1	0	1	1
THYMINE	1	1	0	0	0	0	0	0
Donor-H2	4	4	4	4	4	4	4	4
DATP	4	4	4	2	2	4	4	4
URACIL	2	2	2	2	2	2	2	2
1-KETO-2-METHYLVALERATE	1	1	1	1	1	1	1	1
XANTHINE	2	2	2	2	2	2	4	4
CPD-602	2	2	2	2	2	2	2	2
GTP	2	2	2	2	2	2	2	2
CPD-9965	2	2	2	2	2	2	2	2
SHIKIMATE	2	2	2	2	2	2	4	4
DIHYDROFOLATE	2	2	2	2	2	2	2	2
ASCORBATE	2	2	2	2	2	2	2	2
7-CYANO-7-DEAZAGUANINE	1	1	0	1	1	0	0	0
CPD-14133	4	4	4	4	4	4	4	4
NOREPINEPHRINE	0	2	0	2	0	2	0	2
HYDROGEN-PEROXIDE	4	4	4	4	4	4	4	4
PORPHOBILINOGEN	2	2	2	2	2	2	2	2
CPD-196	0	0	0	0	0	0	1	1
COPROPORPHYRINOGEN_I	2	2	2	2	2	2	2	2
4Z-9Z-Hexadec-4-9-dienoyl-acp	0	0	1	1	1	1	0	0
AMMONIA	4	4	4	4	4	4	4	4
CO+2	4	4	4	4	4	4	4	4
3S-CITRYL-COA	2	2	2	2	2	2	2	2
CPD-24926	2	2	2	2	2	2	4	4
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	1	1	0	0	0	0	0	0
2-METHYLMALEATE	0	0	1	0	0	1	0	0
CHORISMATE	2	2	2	2	2	2	4	4
NITRIC-OXIDE	2	2	2	2	2	2	4	4
CPD-10525	0	0	0	1	1	0	0	0
FE+2	4	4	4	4	4	4	4	4
Hexanoyl-ACPs	2	2	2	2	2	2	2	2
CPD-569	0	0	1	0	0	1	0	0
Ox-Thioredoxin	4	4	4	4	4	4	4	4
CA+2	4	4	4	4	4	4	4	4
L-Galactopyranose	2	2	2	2	2	2	2	2
L-ASPARTATE	2	2	2	2	2	2	2	2
CPD-3736	2	2	2	2	2	2	2	2
FORMYL-COA	0	0	0	1	1	0	1	1
CPD-31	0	0	1	0	0	1	0	0
INDOLE_ACETALDEHYDE	2	2	2	2	2	2	2	2
PYRUVATE	2	2	2	2	2	2	4	4
RIBOSE-5P	2	2	2	2	2	2	4	4
CDP-ETHANOLAMINE	2	2	2	2	2	2	2	2
4-FUMARYL-ACETOACETATE	0	0	0	0	0	0	1	1
L-ALPHA-ALANINE	2	2	2	2	2	2	4	4
DGTP	2	2	2	2	2	2	2	2
SHIKIMATE-5P	2	2	2	2	2	2	4	4
CPD0-2018	1	1	0	0	0	0	0	0
CPD-5821	2	2	2	2	2	2	2	2
CPD-11495	2	2	2	2	2	2	2	2
CTP	2	2	2	2	2	2	2	2
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	2	2	2	2	2	2	2	2
PALMITATE	2	2	2	2	2	2	2	2
CPD-1828	2	2	2	2	2	2	2	2
CO-A	4	4	4	4	4	4	4	4
S-LACTOYL-GLUTATHIONE	0	0	1	0	0	1	3	3
N-ACETYL-GLUTAMYL-P	2	2	2	2	2	2	2	2
R-3-hydroxyhexanoyl-ACPs	2	2	2	2	2	2	2	2
2K-4CH3-PENTANOATE	2	2	2	2	2	2	2	2
CPD-10819	1	1	0	0	0	0	0	0
L-XYLULOSE-5-P	0	0	0	0	0	0	1	1
2E-9Z-octadeca-2-9-dienoyl-ACPs	0	0	0	1	1	0	1	1
D-Ribopyranose	2	2	2	2	2	2	4	4
Delta4-hexadecenoyl-ACPs	0	0	1	1	1	1	0	0
CPD-22017	2	2	2	2	2	2	2	2
CPD1F-118	1	1	1	1	1	1	0	0
CPD-18064	0	0	1	0	0	1	0	0
B-ALANINE	2	2	2	2	2	2	2	2
ENOL-PHENYLPYRUVATE	2	2	2	2	2	2	2	2
CPD-13462	1	1	0	0	0	0	1	1
MYO-INOSITOL	2	2	2	2	2	2	2	2
CPD0-2298	0	0	0	0	0	0	1	1
ACETYL-GLU	2	2	2	2	2	2	2	2
4-IMIDAZOLONE-5-PROPIONATE	0	0	1	0	0	1	0	0
MPBQ	2	2	2	2	2	2	2	2
CPD-11763	4	4	4	2	2	4	4	4
CPD-9387	1	1	0	1	1	0	0	0
MEVALONATE	2	2	2	2	2	2	2	2
DEPHOSPHO-COA	2	2	2	2	2	2	2	2
GLYCEROL-3P	2	2	2	2	2	2	2	2
L-ARGININO-SUCCINATE	2	2	2	2	2	2	2	2
CPD-7414	1	1	1	1	1	1	0	0
R-3-Hydroxypalmitoyl-ACPs	2	2	2	2	2	2	2	2
4-P-PANTOTHENATE	2	2	2	2	2	2	2	2
2-ACETO-2-HYDROXY-BUTYRATE	1	1	1	1	1	1	1	1
CPD-15936	1	1	0	0	0	0	0	0
GLC-6-P	2	2	2	2	2	2	4	4
H2CO3	4	4	4	4	4	4	4	4
L-ARABITOL	1	1	1	0	0	1	1	1
CPD-10683	1	1	0	0	0	0	0	0
3-Hydroxy-octanoyl-ACPs	2	2	2	2	2	2	2	2
DEOXYADENOSINE	0	0	0	0	0	0	1	1
THREO-DS-ISO-CITRATE	2	2	2	2	2	2	2	2
PHOSPHO-ENOL-PYRUVATE	2	2	2	2	2	2	4	4
DIHYDROFOLATE-GLU-N	2	2	2	2	2	2	2	2
CPD-22023	2	2	2	2	2	2	2	2
CPD-22015	2	2	2	2	2	2	2	2
CPD-19584	4	4	4	4	4	4	4	4
DIMETHYL-D-RIBITYL-LUMAZINE	2	2	2	2	2	2	2	2
2E-11Z-icosa-2-11-dienoyl-ACPs	0	0	1	1	1	1	1	1
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	2	2	2	2	2	2	2	2
D-TAGATURONATE	1	1	0	0	0	0	0	0
DEOXY-D-RIBOSE-1-PHOSPHATE	1	1	1	0	0	1	1	1
Hex-2-enoyl-ACPs	2	2	2	2	2	2	2	2
FMN	2	2	2	2	2	2	2	2
ISOCHORISMATE	2	2	2	2	2	2	2	2
4-OXALOMESACONATE	0	0	0	0	0	0	3	3
CPD-1128	1	1	1	0	0	1	1	1
ADP	4	4	4	4	4	4	4	4
Reduced-ferredoxins	4	4	4	4	4	4	4	4
3-oxo-stearoyl-ACPs	2	2	2	2	2	2	2	2
CPD-7419	1	1	1	1	1	1	0	0
N2-SUCCINYLGLUTAMATE	0	0	1	0	0	1	0	0
CPD-14646	1	1	1	1	1	1	0	0
S-3-HYDROXYBUTANOYL-COA	2	2	2	2	2	2	2	2
GDP-L-GALACTOSE	2	2	2	2	2	2	2	2
CARBON-DIOXIDE	4	4	4	4	4	4	4	4
PROTOPORPHYRIN_IX	2	2	2	2	2	2	2	2
NIACINE	0	0	0	0	0	0	1	1
PHOSPHORIBOSYL-ATP	2	2	2	2	2	2	2	2
CPD-12658	2	2	2	2	2	2	2	2
DUDP	2	2	2	2	2	2	2	2
3-Oxo-octanoyl-ACPs	2	2	2	2	2	2	2	2
HYPOXANTHINE	0	0	0	0	0	0	3	3
ITP	2	2	2	2	2	2	2	2
NAD	4	4	4	4	4	4	4	4
CPD-9610	2	2	2	2	2	2	2	2
CPD8J2-27	2	2	2	2	2	2	2	2
CPD-7078	2	2	2	2	2	2	2	2
CPD-14281	2	2	2	2	2	2	2	2
CPD0-1110	1	1	0	0	0	0	0	0
CPD-12365	2	2	2	2	2	2	2	2
Pi	4	4	4	4	4	4	4	4
CPD-12738	0	0	0	0	0	0	1	1
L-PANTOATE	2	2	2	2	2	2	4	4
CATECHOL	0	0	0	1	1	0	1	1
BA+2	4	4	4	4	4	4	4	4
OXYGEN-MOLECULE	4	4	4	4	4	4	4	4
INDOLE-3-GLYCEROL-P	2	2	2	2	2	2	2	2
IMP	2	2	2	2	2	2	2	2
MO+2	4	4	4	4	4	4	4	4
3-oxo-cis-D9-hexadecenoyl-ACPs	0	0	0	1	1	0	1	1
L-ALLO-THREONINE	1	1	1	1	1	1	1	1
CPD-14282	2	2	2	2	2	2	2	2
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	1	1	0	0	0	0	0	0
DCDP	2	2	2	2	2	2	2	2
CPD-612	0	0	0	0	0	0	1	1
Charged-GLT-tRNAs	2	2	2	2	2	2	2	2
ILE	1	1	1	1	1	1	1	1
L-GAMMA-GLUTAMYLCYSTEINE	2	2	2	2	2	2	2	2
Oxidized-flavodoxins	4	4	4	4	4	4	4	4
CPD-11855	2	2	2	2	2	2	4	4
GDP-TP	2	2	2	2	2	2	2	2
CPD-13853	2	2	2	2	2	2	2	2
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	1	1	0	0	0	0	0	0
CPD-1070	0	0	0	0	0	0	1	1
CPD-22405	1	1	0	0	0	0	1	1
CARBAMOYL-P	4	4	2	2	2	2	2	2
INOSINE	2	2	2	2	2	2	4	4
QUINOLINATE	2	2	2	2	2	2	2	2
CU+	4	4	4	4	4	4	4	4
S-2-INDOL-3-YLACETYL-COA	0	0	0	0	0	0	1	1
cis-vaccen-2-enoyl-ACPs	0	0	1	1	1	1	1	1
CPD-24871	2	2	2	2	2	2	2	2
CPD-1134	0	0	0	0	0	0	1	1
ACETYLSERINE	2	2	2	2	2	2	2	2
PROTON	4	4	4	4	4	4	4	4
DGMP	2	2	2	2	2	2	2	2
SULFOACETALDEHYDE	0	0	0	0	0	0	1	1
ECTOINE	0	0	0	0	0	0	1	1
Acceptor	4	4	4	4	4	4	4	4
PAPS	4	4	4	2	2	4	2	2
CPD-7247	0	0	1	0	0	1	0	0
5-KETO-4-DEOXY-D-GLUCARATE	0	0	0	0	0	0	1	1
CPD1G-277	2	2	2	2	2	2	2	2
CPD1F-98	1	1	1	1	1	1	0	0
HYDROXY-METHYL-BUTENYL-DIP	2	2	2	2	2	2	2	2
CPD-21340	2	2	2	2	2	2	2	2
D-ALTRONATE	1	1	0	0	0	0	0	0
BR-	4	4	4	4	4	4	4	4
Beta-3-hydroxybutyryl-ACPs	2	2	2	2	2	2	2	2
2-METHYL-ACETO-ACETYL-COA	1	1	1	1	1	1	1	1
L-CITRULLINE	2	2	2	2	2	2	2	2
CPD1F-129	1	1	1	1	1	1	0	0
ACETALD	1	1	1	1	1	1	1	1
3-ENOLPYRUVYL-SHIKIMATE-5P	2	2	2	2	2	2	4	4
UMP	2	2	2	2	2	2	2	2
b-Hydroxy-cis-D5-dodecenoyl-ACPs	0	0	0	1	1	0	1	1
CPD-3	4	4	4	4	4	4	4	4
CPD-7035	2	2	2	2	2	2	2	2
GLYCERATE	1	1	1	0	0	1	1	1
CHLOROACETIC-ACID	0	0	0	0	0	0	1	1
CPD1F-133	0	0	1	1	1	1	0	0
CPD-1133	0	0	0	0	0	0	1	1
CPD-12115	0	0	1	0	0	1	0	0
FE+3	4	4	4	4	4	4	4	4
4-MALEYL-ACETOACETATE	2	0	2	0	2	1	2	1
2-Octenoyl-ACPs	2	2	2	2	2	2	2	2
3-DEHYDRO-SHIKIMATE	2	2	2	2	2	2	4	4
Trans-D3-cis-D9-hexadecenoyl-ACPs	0	0	0	1	1	0	1	1
ARG	2	2	2	2	2	2	2	2
3-oxo-myristoyl-ACPs	2	2	2	2	2	2	2	2
DEOXYGUANOSINE	2	2	2	2	2	2	2	2
CPD-9925	2	2	2	2	2	2	2	2
